DX_CD,DX_HSDW_SHORT_DESC,DX_HSDW_LONG_DESC
001,cholera,cholera
001.0,cholera d/t vibrio cholerae,cholera due to vibrio cholerae
001.1,cholera d/t vibrio cholerae el tor,cholera due to vibrio cholerae el tor
001.9,cholera nos,"cholera, unspecified"
002,typhoid and paratyphoid fevers,typhoid and paratyphoid fevers
002.0,"fever, typhoid",typhoid fever
002.1,"fever, paratyphoid a",paratyphoid fever a
002.2,"fever, paratyphoid b",paratyphoid fever b
002.3,"fever, paratyphoid c",paratyphoid fever c
002.9,"fever, paratyphoid nos","paratyphoid fever, unspecified"
003,"infections, other salmonella",other salmonella infections
003.0,"gastroenteritis, salmonella",salmonella gastroenteritis
003.1,"septicemia, salmonella",salmonella septicemia
003.2,"infections, localized salmonella",localized salmonella infections
003.20,"infection, localized salmonella nos","localized salmonella infection, unspecified"
003.21,"meningitis, salmonella",salmonella meningitis
003.22,"pneumonia, salmonella",salmonella pneumonia
003.23,"arthritis, salmonella",salmonella arthritis
003.24,"osteomyelitis, salmonella",salmonella osteomyelitis
003.29,"infection, localized salmonella nec",other localized salmonella infections
003.8,"infection, salmonella nec",other specified salmonella infections
003.9,"infection, salmonella nos","salmonella infection, unspecified"
004,shigellosis,shigellosis
004.0,"dysentery, shigella dysenteriae",shigella dysenteriae
004.1,"dysentery, shigella flexneri",shigella flexneri
004.2,"dysentery, shigella boydii",shigella boydii
004.3,"dysentery, shigella sonnei",shigella sonnei
004.8,"infection, shigella nec",other specified shigella infections
004.9,shigellosis nos,"shigellosis, unspecified"
005,"poisoning, food, other (bacterial)",other food poisoning (bacterial)
005.0,"poisoning, food, staphylococcal",staphylococcal food poisoning
005.1,"botulism, food poisoning",botulism food poisoning
005.2,"pois, food, d/t c. perfringens",food poisoning due to clostridium perfringens (c. welchii)
005.3,"pois, food, d/t clostridia nec",food poisoning due to other clostridia
005.4,"pois, food, d/t v. parahaemolyt",food poisoning due to vibrio parahaemolyticus
005.8,"poisoning, food, other bacterial",other bacterial food poisoning
005.81,"pois, food, d/t vibrio vulnificus",food poisoning due to vibrio vulnificus
005.89,"poisoning, food, bacterial nec",other bacterial food poisoning
005.9,"poisoning, food nos","food poisoning, unspecified"
006,amebiasis,amebiasis
006.0,"amebiasis, acute,  w/o abscess",acute amebic dysentery without mention of abscess
006.1,"amebiasis, chronic, w/o abscess",chronic intestinal amebiasis without mention of abscess
006.2,"colitis, amebic nondysenteric",amebic nondysenteric colitis
006.3,"abscess, amebic liver",amebic liver abscess
006.4,"abscess, amebic lung",amebic lung abscess
006.5,"abscess, amebic brain",amebic brain abscess
006.6,"ulceration, amebic skin",amebic skin ulceration
006.8,"infection, amebic nec",amebic infection of other sites
006.9,amebiasis nos,"amebiasis, unspecified"
007,"disease, other protozoal intestinal",other protozoal intestinal diseases
007.0,balantidiasis,balantidiasis
007.1,giardiasis,giardiasis
007.2,coccidiosis,coccidiosis
007.3,"trichomoniasis, intestinal",intestinal trichomoniasis
007.4,cryptosporidiosis,cryptosporidiosis
007.5,cyclosporiasis,cyclosporiasis
007.8,"disease, protozoal intestinal nec",other specified protozoal intestinal diseases
007.9,"disease, protozoal intestinal nos",unspecified protozoal intestinal disease
