PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
00,procedures & interventions nec,"procedures and interventions, not elsewhere classified"
00.0,therapeutic ultrasound,"procedures and interventions, not elsewhere classified; therapeutic ultrasound"
00.01,"therpeu ultrsnd, vsls head/neck","procedures and interventions, not elsewhere classified; therapeutic ultrasound of vessels of head and neck"
00.02,"therapeutic ultrsnd, heart","procedures and interventions, not elsewhere classified; therapeutic ultrasound of heart"
00.03,"therpeu ultrsnd, periph vasc vsls","procedures and interventions, not elsewhere classified; therapeutic ultrasound of peripheral vascular vessels"
00.09,therapeutic ultrasound nec,"procedures and interventions, not elsewhere classified; other therapeutic ultrasound"
00.1,pharmaceuticals,"procedures and interventions, not elsewhere classified; pharmaceuticals"
00.10,"implantation, chemothrpeu agent","procedures and interventions, not elsewhere classified; pharmaceuticals; implantation of chemotherapeutic agent"
00.11,"infusion, drotrecogin alfa","procedures and interventions, not elsewhere classified; pharmaceuticals; infusion of drotrecogin alfa (activated)"
00.12,administer inhaled nitric oxide,"procedures and interventions, not elsewhere classifed; pharmaceuticals; administration of inhaled nitiric oxide"
00.13,inject/infuse nestiritide,"procedures and interventions, not elsewhere classified; pharmaceuticals; injection or infusion of nesiritide"
00.14,inject/infuse oxazolidinone antibio,"procedures and interventions, not elsewhere classified; pharmaceuticals; injection or infusion of oxazolidinone class of antibiotics"
00.15,infusion high-dose interleukin-2,"procedures and interventions, not elsewhere classified; pharmaceuticals, high-dose infusion interleukin-2 [il-2]"
00.16,preszd trtmt ven bypass grft w/phrm,"procedures and interventions, not elsewhere classified; pharmaceuticals; pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance"
00.17,infuse vasopressor agent,"procedures and interventions, not elsewhere classified; pharmaceuticals; infusion of vasopressor agent"
00.18,infuse immunosuppressive antibody,"procedures and interventions, not elsewhere classified; pharmaceuticals; infusion of immunosuppressive antibody therapy"
00.19,disrpt blood brain barrier via infu,"procedures and interventions, not elsewhere classified; pharmaceuticals; disruption of blood brain barrier via infusion [bbbd]"
00.2,"image blood vessels, intravascular","procedures and interventions, not elsewhere classified; intravascular imaging of blood vessels"
00.21,"image extracrn cer vsls, intravasc","procedures and interventions, not elsewhere classified; intravascular imaging of extracranial cerebral vessels"
00.22,"image intrathoracic vsls, intravasc","procedures and interventions, not elsewhere classified; intravascular imaging of intrathoracic vessels"
00.23,"image peripheral vessels, intravasc","procedures and interventions, not elsewhere classified; intravascular imaging of peripheral vessels"
00.24,"image coronary vessels, intravasc","procedures and interventions, not elsewhere classified; intravascular imaging of coronary vessels"
00.25,"image renal vessels, intravascular","procedures and interventions, not elsewhere classified; intravascular imaging of renal vessels"
00.28,"image vessels, intravascular, nec","procedures and interventions, not elsewhere classified; intravascular imaging, other specified vessel(s)"
00.29,"image vessels, intravascular, nos","procedures and interventions, not elsewhere classified; intravascular imaging, unspecified vessel(s)"
00.3,computer assisted surgery,"procedures and interventions, not elsewhere classified; computer assisted surgery [cas]"
00.31,computer assist surg w/ct/cta,"procedures and interventions, not elsewhere classified; computer assisted surgery with ct/cta"
00.32,computer assist surg w/mr/mra,"procedures and interventions, not elsewhere classified; computer assisted surgery with mr/mra"
00.33,computer assist surg w/fluoroscopy,"procedures and interventions, not elsewhere classified; computer assisted surgery with fluoroscopy"
00.34,"computer assist surg, imageless","procedures and interventions, not elsewhere classified; imageless computer assisted surgery"
00.35,computer assist surg w/mlt datasets,"procedures and interventions, not elsewhere classified; computer assisted surgery with multiple datasets"
00.39,computer assist surgery nec,"procedures and interventions, not elsewhere classified; other computer assisted surgery"
00.4,adjunct vascular system procedures,"procedures and interventions, not elsewhere classified; adjunct vascular system procedures"
00.40,"procedure on vessel, single","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; procedure on single vessel"
